,x,y
0,33.09383173616396,50.71958891231208
1,41.720676356341286,65.28088692082282
2,44.49285588085407,86.642020318822
3,53.66093226167304,63.64239877565775
4,44.55560838327536,52.682983366387774
5,53.57507753167366,87.99445275811041
6,57.36205213323824,95.53668684646722
7,51.84518690563943,75.38065166531236
8,45.44053072531998,66.5881444142286
9,51.088719898979136,69.58889785111847
10,50.039575939875995,85.23200734232566
11,60.26921439399791,70.25193441977159
12,44.6871962314809,82.89250373145371
13,59.04974121466681,77.63418251167785
14,50.07314563228904,82.90598148507051
15,53.691639571070056,85.66820314500154
16,63.61556125145331,95.2293660175553
17,48.14985889102886,66.22495788805463
18,62.99748074755309,115.24415280079528
19,51.0886346783368,73.4346415463243
20,59.37082201108952,74.76556403215137
21,55.14218841394382,78.21151827079923
22,62.49469742726979,86.52053844034715
23,38.119824026822805,80.16627544737096
24,47.48120860786787,57.25181946226897
25,50.28283634823073,69.51050331149439
26,59.81320786951232,87.23092513368739
27,70.34607561504933,104.25710158543822
28,35.56783004774663,41.41288530370056
29,56.13038881687547,85.49806777884022
30,31.58811699813283,50.3926701350799
31,43.870612645218365,61.42470980433912
32,33.86421497177824,52.725494375900425
33,40.59953838455232,65.56230126040037
34,50.03017434031214,81.53699078301504
35,52.55001444273382,71.30087988685035
36,50.1863894948806,69.84760415824918
37,53.42680403327502,68.77759598163891
38,32.940479942618296,67.17065576899512
39,49.203887540826,84.7426978078262
40,41.57564261748702,51.391744079832314
41,52.37844621923622,86.09829120577409
42,33.64470600619178,69.89968164362763
43,48.10504169176825,75.33124229706306
44,49.23976534275376,72.11183246961566
45,56.72720805709661,81.43619215887864
46,35.678093889410725,52.72173496477498
47,54.28232870596741,79.12064627468001
48,48.95588856609372,60.723602440673965
49,52.22399608555305,63.35879031749788
50,50.55676014854777,83.43207142132371
51,44.16404949677335,62.00892324572583
52,38.81681753744564,56.877213186268506
53,65.41605174513407,118.59121730252248
54,44.5025380646451,65.10171157056033
55,57.31000343834809,95.45505292257472
56,39.299566694317065,59.171489321869515
57,46.68222864947192,72.24725106866237
58,36.93007660919181,55.23166088621284
59,61.53035802563644,62.5623822979458
60,60.297326851333466,97.37989686216608
61,39.55790122290682,44.8624907111644
62,56.901214702247074,80.20752313968275
63,52.211796692214,79.64197304980874
64,57.50453330326841,91.4867780001101
65,45.41973014497376,55.16567714595912
66,43.107820219102464,57.8125129761814
67,58.16847071685779,75.39287042599494
68,36.43600951138687,62.124570818071774
